# Normalized standard B passband
# from Bessell, PASP, 102, 1181 (1990), Table 2
#
# lambda (nm)      B
# ---------------------------
  360              0.000
  370              0.030
  380		   0.134
  390		   0.567
  400		   0.920
  410		   0.978
  420		   1.000
  430		   0.978
  440		   0.935
  450		   0.853
  460		   0.740
  470		   0.640
  480		   0.536
  490		   0.424
  500		   0.325
  510		   0.235
  520		   0.150
  530		   0.095
  540		   0.043
  550		   0.009
  560		   0.000
  
